"Carimbo de data/hora","Primeiramente, me identifico politicamente como:","O aborto deve ser legal","O governo deve tomar medidas para reduzir a desigualdade de renda.","Todos os imigrantes em situação irregular devem ser enviados de volta ao seu país de origem.","O orçamento federal destinado a programas sociais (como Bolsa Família e afins) deve ser aumentado.","Casais lésbicos, gays e trans devem ter o direito de se casar legalmente.","O governo deve regulamentar as empresas para proteger o meio ambiente.","O governo federal deve tornar mais fácil a compra de armas de fogo.","O governo deve fazer um esforço concentrado para melhorar as condições sociais e econômicas da população negra no Brasil.","Alguma sugestão ou comentário ?"
"2025/09/25 2:41:55 AM GMT-3","Nenhuma das anteriores","Discordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente",""
"2025/09/25 3:22:55 AM GMT-3","Direita","Discordo Fortemente","Discordo Levemente","Concordo Levemente","Discordo Fortemente","Neutro","Concordo Levemente","Concordo Levemente","Discordo Levemente",""
"2025/09/25 6:25:57 AM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Neutro","Concordo Fortemente","Neutro","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 6:40:51 AM GMT-3","Esquerda","Concordo Levemente","Concordo Fortemente","Discordo Levemente","Concordo Levemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 6:43:25 AM GMT-3","Esquerda","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Discordo Fortemente","Concordo Fortemente",""
"2025/09/25 6:43:30 AM GMT-3","Direita","Discordo Fortemente","Concordo Fortemente","Neutro","Discordo Fortemente","Concordo Levemente","Discordo Fortemente","Concordo Fortemente","Discordo Fortemente",""
"2025/09/25 6:49:40 AM GMT-3","Centro","Neutro","Discordo Levemente","Concordo Fortemente","Discordo Fortemente","Neutro","Concordo Levemente","Neutro","Discordo Levemente",""
"2025/09/25 6:56:43 AM GMT-3","Nenhuma das anteriores","Concordo Levemente","Discordo Levemente","Concordo Levemente","Discordo Fortemente","Neutro","Concordo Levemente","Concordo Fortemente","Discordo Levemente",""
"2025/09/25 7:11:36 AM GMT-3","Direita","Discordo Fortemente","Concordo Fortemente","Discordo Levemente","Discordo Fortemente","Discordo Fortemente","Discordo Fortemente","Concordo Levemente","Discordo Fortemente",""
"2025/09/25 7:15:42 AM GMT-3","Direita","Discordo Fortemente","Concordo Levemente","Discordo Levemente","Concordo Levemente","Concordo Fortemente","Concordo Fortemente","Concordo Fortemente","Concordo Levemente",""
